,band rock punk guitar bands,rap hop hip rapper beats,pop love record voice life,metal black death doom riffs,tracks track sounds electronic work,class
1238,0.0150831993339,0.0,0.0114886527227,0.0671930705956,0.00187592523292,metal
7517,0.0125385320209,0.0,0.00488395478355,0.102521604056,0.0,metal
14435,0.00210412624281,0.00927315184445,0.0282481104776,0.00291528056596,0.0106531994634,rock
9107,0.0414410013082,0.0,0.00595258033217,0.0250697162624,0.00830509371021,global
1088,0.00443243258987,0.00252594578836,0.0201317306257,0.0,0.00694073802952,global
3984,0.0,0.063232926471,0.0119595950158,0.0,0.00640162664453,rap
8713,0.0154196641547,0.0,0.00882126606758,0.0,0.0279673388654,folk/country
3803,0.00318042318233,0.0322756477218,0.00721940858862,0.000716956412884,0.0238892499815,rap
10053,0.0,0.0,0.0199076667933,0.0,0.0217962315955,folk/country
5395,0.00121309269495,0.0115163261058,0.00542565775289,0.0125440939432,0.0377086006812,electronic
919,0.0119920461079,0.00212671228648,0.00596062697349,0.0,0.043453539212,jazz
2245,0.00976588471421,0.0,0.00810490283043,0.0165022271765,0.0252434914368,metal
12132,0.00210402791165,0.0563226267538,0.00473286267395,0.0,0.0101149870275,rap
14812,0.0295312568233,0.0,0.0335599878739,0.0,0.000661201403022,metal
2306,0.0,0.0051388730496,0.00143100738534,0.0,0.0400439200187,electronic
10263,0.0,0.0084127527011,0.0393785998755,0.00182039127487,0.0067159054577,rock
1147,0.0,0.0,0.0276284720191,0.0,0.0174551204393,pop/r&b
4794,0.00752984125585,0.00795942614968,0.021027994704,0.0176370488346,0.00954702414665,metal
8890,0.00477604438113,0.0,0.0204838911831,0.0,0.0166109924742,global
12828,0.00249352552279,0.0,0.0103728372942,0.0565896153733,0.0283061320528,metal
9062,0.00371860894614,0.00529796523741,0.0251213840691,0.000513596454586,0.00826756271073,folk/country
1194,0.0,0.0,0.0133202753564,0.0,0.0171443283864,global
15050,0.0,0.0320464743445,0.000322523805465,0.0,0.0318127097995,electronic
3435,0.00725712893137,0.00118791990083,0.00530212803229,0.0789363851814,0.00672124801582,metal
15506,0.0,0.00906255562614,0.0134339815781,0.0,0.0241859407161,pop/r&b
9675,0.0,0.000683090113102,0.00630341662444,0.0,0.0282640040447,folk/country
5596,0.0,0.0481216289347,0.00181048469505,0.0,0.0326697866587,rap
1174,0.00982546460554,0.0,0.0161081208474,0.0229533647121,0.0178986416259,metal
4368,0.0147385138566,0.0,0.0237395571123,0.0161474352123,0.0222135280019,metal
6817,0.0,0.0,0.0288701883228,0.0,0.00943452361721,folk/country
14611,0.00499549265376,0.004506029725,0.0241118242618,0.00193670174015,0.0145694283786,folk/country
10131,0.0,0.0,0.0170052023063,0.00802386688944,0.0272954415446,experimental
10010,0.0225515712147,0.00391277974834,0.0267809943153,0.0,0.0,rock
8150,0.00460218243812,0.071111035697,0.0141328558462,0.0047467837946,0.0,rap
15200,0.00735267777,0.0,0.0242236331591,0.0,0.0239975955789,rock
9732,0.0125809846149,0.0256109171183,0.00642976506731,0.0,0.0371699633796,rock
689,0.00922208689778,0.0,0.017850024807,0.0,0.0108947585309,folk/country
11933,0.0,0.058375330318,0.0125361982253,0.0,0.00195285243229,rap
12258,0.0,0.0,0.0116514673114,0.0,0.0342643759294,experimental
2559,0.0304036509926,0.0,0.0115843308246,0.039661330091,0.016536877266,metal
5155,0.0,0.000792931534253,0.0144392238774,0.0217323934213,0.0251234119422,rock
10784,0.0,0.00981873598295,0.0101187875156,0.0,0.0298392054084,global
2307,0.0,0.0227632096732,0.0133115658149,0.0,0.0134265372142,rap
12327,0.002155653793,0.0,0.00838807395363,0.0,0.0281573431005,electronic
13749,0.00547647856858,0.0,0.0258674619523,0.0,0.0175606398498,folk/country
9932,0.0189549751272,0.0,0.0285579321787,0.0,0.0114316166477,rock
7847,0.00635726706409,0.0204468687663,0.0179166014464,0.00196999809917,0.00841449976979,pop/r&b
1013,0.0110119435911,0.0255936171433,0.0181754316955,0.0,0.0112322761578,global
6451,0.0147719275983,0.0,0.0330142889409,0.0,0.0,rock
4601,0.0,0.00301267945071,0.0218263885009,0.00760382619047,0.0234863295446,global
322,0.0,0.00015019762677,0.00880672466497,0.0,0.0393764314746,experimental
6048,0.00942870897701,0.0,0.0100492219917,0.0,0.0200293334024,pop/r&b
11096,0.0,0.0,0.024645599607,0.0290240828512,0.0110265292439,folk/country
